"Protocol","Percent Packets","Packets","Percent Bytes","Bytes","Bits/s","End Packets","End Bytes","End Bits/s","PDUs"
"Frame",100,6781,100,895092,188254.57429729757,0,0,0,6781
"Cisco HDLC",100,6781,3.0303030303030303,27124,5704.684069615078,0,0,0,6781
"Internet Protocol Version 4",100,6781,15.151515151515152,135620,28523.42034807539,0,0,0,6781
"Internet Control Message Protocol",100,6781,81.81818181818181,732348,154026.46987960712,6781,732348,154026.46987960712,6781
