"Protocol","Percent Packets","Packets","Percent Bytes","Bytes","Bits/s","End Packets","End Bytes","End Bits/s","PDUs"
"Frame",100,629,100,208828,47509.849743423874,0,0,0,629
"Cisco HDLC",100,629,1.2048192771084338,2516,572.4078282340225,0,0,0,629
"Internet Protocol Version 4",100,629,6.024096385542169,12580,2862.0391411701125,0,0,0,629
"Internet Control Message Protocol",100,629,92.7710843373494,193732,44075.402774019734,629,193732,44075.402774019734,629
